date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:41:37	2229/2229	---MCZ	200	added ('OK')	text/html	etag:W/%2263b9aaf9-23c4%22	https://salonmlsarajevo.com/robots.txt		(from )
03:41:37	9156/9156	---MCZ	200	added ('OK')	text/html	etag:W/%2263b9aaf9-23c4%22	https://salonmlsarajevo.com/	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/index.html	(from )
03:41:37	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:41:38%20GMT	http://salonmlsarajevo.com/favicon.ico	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/favicon.0.delayed	(from https://salonmlsarajevo.com/)
03:41:37	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2263b9aaf8-3aee%22	https://salonmlsarajevo.com/favicon.ico	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/favicon.ico	(from https://salonmlsarajevo.com/)
03:41:38	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:41:38%20GMT	http://salonmlsarajevo.com/styles.abddec65c3dfdd04.css	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/styles.abddec65c3dfdd04.css	(from https://salonmlsarajevo.com/)
03:41:38	290326/290326	---MCZ	200	added ('OK')	text/css	etag:W/%2263b9aafd-46e16%22	https://salonmlsarajevo.com/styles.abddec65c3dfdd04.css	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/styles.abddec65c3dfdd04.css	(from https://salonmlsarajevo.com/)
03:41:39	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:41:39%20GMT	http://salonmlsarajevo.com/runtime.02d4fe80bf9f39b5.js	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/runtime.02d4fe80bf9f39b5.js	(from https://salonmlsarajevo.com/)
03:41:40	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:41:40%20GMT	http://salonmlsarajevo.com/polyfills.cafbd353abd86375.js	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/polyfills.cafbd353abd86375.js	(from https://salonmlsarajevo.com/)
03:41:40	1079/1079	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263b9aafc-437%22	https://salonmlsarajevo.com/runtime.02d4fe80bf9f39b5.js	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/runtime.02d4fe80bf9f39b5.js	(from https://salonmlsarajevo.com/)
03:41:40	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:41:40%20GMT	http://salonmlsarajevo.com/main.a269b173296cfff1.js	C:/projects/My%20Web%20Sites%20(HTTrack)/salonml/salonmlsarajevo.com/main.a269b173296cfff1.js	(from https://salonmlsarajevo.com/)
