date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:56:46	2229/2229	---MCZ	200	added ('OK')	text/html	etag:W/%2263b9aaf9-23c4%22	https://salonmlsarajevo.com/robots.txt		(from )
03:56:46	9156/9156	---MCZ	200	added ('OK')	text/html	etag:W/%2263b9aaf9-23c4%22	https://salonmlsarajevo.com/	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/index.html	(from )
03:56:47	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:56:47%20GMT	http://salonmlsarajevo.com/favicon.ico	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/favicon.0.delayed	(from https://salonmlsarajevo.com/)
03:56:47	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2263b9aaf8-3aee%22	https://salonmlsarajevo.com/favicon.ico	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/favicon.ico	(from https://salonmlsarajevo.com/)
03:56:47	10412/10412	---M--	200	added ('OK')	font/woff2	date:Wed,%2011%20May%202022%2019:24:55%20GMT	https://fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5fCRc4AMP6lbBP.woff2	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmSU5fCRc4AMP6lbBP.woff2	(from https://salonmlsarajevo.com/)
03:56:47	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jun%202025%2010:56:48%20GMT	https://fonts.gstatic.com/	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/fonts.gstatic.com/index.html	(from https://salonmlsarajevo.com/)
03:56:48	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:56:48%20GMT	http://salonmlsarajevo.com/styles.abddec65c3dfdd04.css	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/styles.abddec65c3dfdd04.css	(from https://salonmlsarajevo.com/)
03:56:48	262236/262236	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jun%202025%2010:56:48%20GMT	https://maps.googleapis.com/maps/api/js?key=AIzaSyD3S_9NFnwqf8lbnqGDSnR5-nD2_WJBhg4	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/maps.googleapis.com/maps/api/js1824	(from https://salonmlsarajevo.com/)
03:56:48	290326/290326	---MCZ	200	added ('OK')	text/css	etag:W/%2263b9aafd-46e16%22	https://salonmlsarajevo.com/styles.abddec65c3dfdd04.css	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/styles.abddec65c3dfdd04.css	(from https://salonmlsarajevo.com/)
03:56:50	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:56:49%20GMT	http://salonmlsarajevo.com/runtime.02d4fe80bf9f39b5.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/runtime.02d4fe80bf9f39b5.js	(from https://salonmlsarajevo.com/)
03:56:50	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:56:50%20GMT	http://salonmlsarajevo.com/polyfills.cafbd353abd86375.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/polyfills.cafbd353abd86375.js	(from https://salonmlsarajevo.com/)
03:56:50	1079/1079	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263b9aafc-437%22	https://salonmlsarajevo.com/runtime.02d4fe80bf9f39b5.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/runtime.02d4fe80bf9f39b5.js	(from https://salonmlsarajevo.com/)
03:56:50	33861/33861	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263b9aafc-8445%22	https://salonmlsarajevo.com/polyfills.cafbd353abd86375.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/polyfills.cafbd353abd86375.js	(from https://salonmlsarajevo.com/)
03:56:50	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:56:51%20GMT	http://salonmlsarajevo.com/main.a269b173296cfff1.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/main.a269b173296cfff1.js	(from https://salonmlsarajevo.com/)
03:56:51	1223406/1223406	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263b9aafa-12aaee%22	https://salonmlsarajevo.com/main.a269b173296cfff1.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/main.a269b173296cfff1.js	(from https://salonmlsarajevo.com/)
03:56:51	64508/64508	---M-Z	200	added ('OK')	application/x-javascript	etag:%2285ae4f1b0299a82c309c49c7640a457c%22	https://www.instagram.com/embed.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/www.instagram.com/embed.js	(from https://salonmlsarajevo.com/)
03:56:53	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:56:52%20GMT	http://salonmlsarajevo.com/assets/vendor/js/bundle.min.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/assets/vendor/js/bundle.min.js	(from https://salonmlsarajevo.com/)
03:56:53	13490/13490	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2010%20Jun%202025%2010:56:52%20GMT	https://kit.fontawesome.com/6ecdecbfc9.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/kit.fontawesome.com/6ecdecbfc9.js	(from https://salonmlsarajevo.com/)
03:56:53	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Jun%202025%2010:56:53%20GMT	http://salonmlsarajevo.com/assets/resume/js/script.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/assets/resume/js/script.js	(from https://salonmlsarajevo.com/)
03:56:53	146227/146227	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263b9aade-23b33%22	https://salonmlsarajevo.com/assets/vendor/js/bundle.min.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/assets/vendor/js/bundle.min.js	(from https://salonmlsarajevo.com/)
03:56:53	3424/3424	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263b9aac3-d60%22	https://salonmlsarajevo.com/assets/resume/js/script.js	C:/projects/My%20Web%20Sites%20(HTTrack)%20-%202/salonml2/salonmlsarajevo.com/assets/resume/js/script.js	(from https://salonmlsarajevo.com/)
03:56:54	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jun%202025%2010:56:54%20GMT	https://fonts.gstatic.com/robots.txt		(from https://salonmlsarajevo.com/)
03:56:54	350/350	---M-Z	200	added ('OK')	text/plain	date:Wed,%2026%20Mar%202025%2021:58:00%20GMT	https://maps.googleapis.com/robots.txt		(from https://salonmlsarajevo.com/)
